@relation Covid19

@attribute Date date dd-mm-yyyy
@attribute Country string
@attribute Cases integer
@attribute Deaths integer
@attribute Recovered integer

@data
29-01-2020,China,6070,133,0
29-01-2020,Thailand,14,0,0
29-01-2020,Hong_Kong,11,0,0
29-01-2020,Singapore,10,0,0
29-01-2020,Taiwan,8,0,0
29-01-2020,Macau,7,0,0
29-01-2020,Malaysia,7,0,0
29-01-2020,Japan,7,0,0
29-01-2020,Australia,7,0,0
29-01-2020,United_States,5,0,0
29-01-2020,South_Korea,4,0,0
29-01-2020,France,4,0,0
29-01-2020,Germany,4,0,0
29-01-2020,United_Arab_Emirates,4,0,0
29-01-2020,Canada,3,0,0
29-01-2020,Vietnam,2,0,0
29-01-2020,Cambodia,1,0,0
29-01-2020,Nepal,1,0,0
29-01-2020,Finland,1,0,0
29-01-2020,Sri_Lanka,1,0,0
30-01-2020,China,8123,170,0
30-01-2020,Thailand,14,0,0
30-01-2020,Japan,14,0,0
30-01-2020,Singapore,13,0,0
30-01-2020,Hong_Kong,11,0,0
30-01-2020,Taiwan,9,0,0
30-01-2020,Australia,9,0,0
30-01-2020,Malaysia,8,0,0
30-01-2020,Macau,7,0,0
30-01-2020,United_States,6,0,0
30-01-2020,South_Korea,6,0,0
30-01-2020,France,5,0,0
30-01-2020,Vietnam,5,0,0
30-01-2020,Germany,4,0,0
30-01-2020,United_Arab_Emirates,4,0,0
30-01-2020,Canada,3,0,0
30-01-2020,Cambodia,1,0,0
30-01-2020,Nepal,1,0,0
30-01-2020,Finland,1,0,0
30-01-2020,Philippines,1,0,0
30-01-2020,India,1,0,0
30-01-2020,Sri_Lanka,1,0,0
31-01-2020,China,9798,213,0
31-01-2020,Thailand,19,0,0
31-01-2020,Japan,17,0,0
31-01-2020,Singapore,16,0,0
31-01-2020,Hong_Kong,13,0,0
31-01-2020,South_Korea,11,0,0
31-01-2020,Taiwan,10,0,0
31-01-2020,Australia,9,0,0
31-01-2020,Malaysia,8,0,0
31-01-2020,Macao,7,0,0
31-01-2020,Germany,6,0,0
31-01-2020,France,6,0,0
31-01-2020,Vietnam,5,0,0
31-01-2020,United_Arab_Emirates,4,0,0
31-01-2020,Canada,4,0,0
31-01-2020,Russia,2,0,0
31-01-2020,Italy,2,0,0
31-01-2020,United_Kingdom,2,0,0
31-01-2020,Philippines,1,0,0
31-01-2020,Nepal,1,0,0
31-01-2020,India,1,0,0
31-01-2020,Finland,1,0,0
31-01-2020,Sweden,1,0,0
31-01-2020,Sri_Lanka,1,0,0
31-01-2020,Cambodia,1,0,0
1-02-2020,China,11860,259,0
1-02-2020,Japan,20,0,0
1-02-2020,Thailand,19,0,0
1-02-2020,Singapore,18,0,0
1-02-2020,Hong_Kong,13,0,0
1-02-2020,South_Korea,12,0,0
1-02-2020,Australia,12,0,0
1-02-2020,Taiwan,10,0,0
1-02-2020,Malaysia,8,0,0
